feature1,feature2,target
-4.3679,-7.3679,0
-9.181,-8.3992,0
-6.0649,-11.1464,0
-4.0985,-7.7021,0
-7.2866,-6.5576,0
-4.7306,-10.6066,0
-8.7209,-6.8588,0
-5.4648,-8.4594,0
-8.3856,-7.963,0
-7.9056,-4.6968,0
-10.4611,-3.4403,0
-5.984,-4.8764,0
-5.9856,-7.5289,0
-8.2748,-8.0924,0
-8.599,-4.8141,0
-9.5466,-6.8872,0
-9.5366,-7.8899,0
-9.501,-6.0283,0
-10.4984,-5.4758,0
-4.2886,-4.3407,0
-8.429,-7.9848,0
-9.6707,-2.2156,0
-7.8864,-7.4244,0
-7.5731,-1.3037,0
-7.7313,-4.6199,0
-7.3288,-6.7877,0
-10.5547,-6.7812,0
-8.4671,-4.6883,0
-6.124,-3.918,0
-7.3614,-4.0208,0
-9.6869,-3.1985,0
-6.8531,-6.6666,0
-6.9076,-6.169,0
-5.4696,-2.6016,0
-3.1129,-9.1227,0
-11.2291,-7.128,0
-7.6421,-4.0408,0
-7.2942,-10.5218,0
-8.6847,-4.1486,0
-7.4855,-4.2961,0
-8.4971,-6.4489,0
-7.5828,-5.0831,0
-7.5566,-5.7339,0
-9.4996,-5.1557,0
-7.7276,-3.4744,0
-5.3191,-5.586,0
-8.8392,-7.4282,0
-7.053,-5.8271,0
-8.7689,-5.9025,0
-9.3864,-4.4392,0
-8.9998,-3.2619,0
-7.0978,-4.6727,0
-10.4483,-5.6212,0
-6.3441,-8.1325,0
-8.5953,-5.9271,0
-11.0704,-5.2953,0
-6.1079,-7.9219,0
-7.2162,-8.9344,0
-8.0865,-9.613,0
-5.4924,-5.0857,0
-8.055,-7.7333,0
-5.1518,-1.6014,0
-12.1546,-3.2359,0
-4.3605,-5.2442,0
-10.6816,-4.0695,0
-8.4046,-7.3504,0
-10.7505,-4.769,0
-6.2272,-7.3943,0
-6.836,-8.5588,0
-6.207,-5.8959,0
-8.4172,-6.2275,0
-6.0571,-4.322,0
-6.8161,-5.6921,0
-7.826,-4.6173,0
-7.4801,-4.4738,0
-8.6934,-11.4445,0
-5.6771,-1.1098,0
-7.0131,-6.224,0
-8.3051,-6.2662,0
-7.9611,-8.5089,0
-9.1563,-8.2294,0
-7.4437,-6.6633,0
-6.8927,-6.3906,0
-5.7945,-5.5225,0
-3.1014,-10.2404,0
-9.4465,-3.9842,0
-2.3465,-6.556,0
-7.9024,-6.5061,0
-5.0228,-6.6424,0
-6.4793,-6.7151,0
-10.8455,-5.2989,0
-6.8748,-3.1083,0
-8.247,-7.3805,0
-6.7416,-5.4617,0
-7.3724,-6.1635,0
-5.4054,-5.1738,0
-3.7411,-3.5156,0
-6.5263,-9.6391,0
-6.6532,-5.0602,0
-6.1867,-3.6646,0
-8.8964,-4.1575,0
-9.2574,-1.6288,0
-10.9783,-9.937,0
-11.6911,-7.9913,0
-10.5024,-1.6261,0
-8.7301,-9.0023,0
-5.5082,-7.3115,0
-10.7657,-4.0416,0
-6.6061,-6.9726,0
-4.8526,-5.7113,0
-4.3844,-4.8758,0
-4.5144,-5.7554,0
-10.7274,-0.523,0
-9.2204,-6.4446,0
-9.5661,-6.4548,0
-7.4574,-5.5487,0
-6.5219,-1.9926,0
-8.2694,-8.7573,0
-10.6437,-7.4887,0
-11.7436,-4.1552,0
-9.114,-6.6954,0
-8.0042,-9.1229,0
-9.926,-4.4913,0
-6.6169,-6.991,0
-3.9515,-8.9197,0
-8.7714,-6.5162,0
-14.2455,-1.6676,0
-7.1809,-8.3358,0
-3.4134,-4.6904,0
-7.0396,-7.3573,0
-7.7625,-9.4115,0
-6.2223,-6.8373,0
-7.7003,-3.3121,0
-7.3633,-5.4131,0
-7.3817,-7.6396,0
-6.1306,-2.5489,0
-6.3033,-4.0213,0
-9.9617,-7.9404,0
-11.2219,-3.2446,0
-8.5684,-2.8699,0
-9.7484,-6.9783,0
-7.7866,-3.9396,0
-7.8642,-5.5279,0
-7.963,-5.6038,0
-10.4965,-5.819,0
-8.4172,-6.1271,0
-6.8991,-7.522,0
-8.189,-6.6649,0
-7.0669,-4.2452,0
-10.1364,-4.6899,0
-3.3808,-9.2896,0
-9.8563,-7.969,0
-8.6241,-2.3712,0
-7.9701,-7.5534,0
-6.6096,-7.3412,0
-5.488,-5.3174,0
-4.8946,-7.4788,0
-1.2228,-4.1562,0
-6.5363,-6.1145,0
-9.6225,-7.9404,0
-8.3041,-7.7827,0
-7.3679,-7.8472,0
-6.6112,-3.862,0
-9.5783,-3.3331,0
-8.5321,-3.4167,0
-7.0202,-3.4904,0
-10.2294,-6.2388,0
-4.7545,-7.382,0
-12.5553,-10.3438,0
-13.6046,-10.7274,0
2.7958,-13.992,0
