feature1,feature2,target
-1.3679,-6.3679,0.0000
-6.1810,-7.3992,0.0000
-3.0649,-10.1464,0.0000
-1.0985,-6.7021,0.0000
-4.2866,-5.5576,0.0000
-1.7306,-9.6066,0.0000
-5.7209,-5.8588,0.0000
-2.4648,-7.4594,0.0000
-5.3856,-6.9630,0.0000
-4.9056,-3.6968,0.0000
-7.4611,-2.4403,0.0000
-2.9840,-3.8764,0.0000
-2.9856,-6.5289,0.0000
-5.2748,-7.0924,0.0000
-5.5990,-3.8141,0.0000
-6.5466,-5.8872,0.0000
-6.5366,-6.8899,0.0000
-6.5010,-5.0283,0.0000
-7.4984,-4.4758,0.0000
-1.2886,-3.3407,0.0000
-5.4290,-6.9848,0.0000
-6.6707,-1.2156,0.0000
-4.8864,-6.4244,0.0000
-4.5731,-0.3037,0.0000
-4.7313,-3.6199,0.0000
-4.3288,-5.7877,0.0000
-7.5547,-5.7812,0.0000
-5.4671,-3.6883,0.0000
-3.1240,-2.9180,0.0000
-4.3614,-3.0208,0.0000
-6.6869,-2.1985,0.0000
-3.8531,-5.6666,0.0000
-3.9076,-5.1690,0.0000
-2.4696,-1.6016,0.0000
-0.1129,-8.1227,0.0000
-8.2291,-6.1280,0.0000
-4.6421,-3.0408,0.0000
-4.2942,-9.5218,0.0000
-5.6847,-3.1486,0.0000
-4.4855,-3.2961,0.0000
-5.4971,-5.4489,0.0000
-4.5828,-4.0831,0.0000
-4.5566,-4.7339,0.0000
-6.4996,-4.1557,0.0000
-4.7276,-2.4744,0.0000
-2.3191,-4.5860,0.0000
-5.8392,-6.4282,0.0000
-4.0530,-4.8271,0.0000
-5.7689,-4.9025,0.0000
-6.3864,-3.4392,0.0000
-5.9998,-2.2619,0.0000
-4.0978,-3.6727,0.0000
-7.4483,-4.6212,0.0000
-3.3441,-7.1325,0.0000
-5.5953,-4.9271,0.0000
-8.0704,-4.2953,0.0000
-3.1079,-6.9219,0.0000
-4.2162,-7.9344,0.0000
-5.0865,-8.6130,0.0000
-2.4924,-4.0857,0.0000
-5.0550,-6.7333,0.0000
-2.1518,-0.6014,0.0000
-9.1546,-2.2359,0.0000
-1.3605,-4.2442,0.0000
-7.6816,-3.0695,0.0000
-5.4046,-6.3504,0.0000
-7.7505,-3.7690,0.0000
-3.2272,-6.3943,0.0000
-3.8360,-7.5588,0.0000
-3.2070,-4.8959,0.0000
-5.4172,-5.2275,0.0000
-3.0571,-3.3220,0.0000
-3.8161,-4.6921,0.0000
-4.8260,-3.6173,0.0000
-4.4801,-3.4738,0.0000
-5.6934,-10.4445,0.0000
-2.6771,-0.1098,0.0000
-4.0131,-5.2240,0.0000
-5.3051,-5.2662,0.0000
-4.9611,-7.5089,0.0000
-6.1563,-7.2294,0.0000
-4.4437,-5.6633,0.0000
-3.8927,-5.3906,0.0000
-2.7945,-4.5225,0.0000
-0.1014,-9.2404,0.0000
-6.4465,-2.9842,0.0000
0.6535,-5.5560,0.0000
-4.9024,-5.5061,0.0000
-2.0228,-5.6424,0.0000
-3.4793,-5.7151,0.0000
-7.8455,-4.2989,0.0000
-3.8748,-2.1083,0.0000
-5.2470,-6.3805,0.0000
-3.7416,-4.4617,0.0000
-4.3724,-5.1635,0.0000
-2.4054,-4.1738,0.0000
-0.7411,-2.5156,0.0000
-3.5263,-8.6391,0.0000
-3.6532,-4.0602,0.0000
-3.1867,-2.6646,0.0000
-5.8964,-3.1575,0.0000
-6.2574,-0.6288,0.0000
-7.9783,-8.9370,0.0000
-8.6911,-6.9913,0.0000
-7.5024,-0.6261,0.0000
-5.7301,-8.0023,0.0000
-2.5082,-6.3115,0.0000
-7.7657,-3.0416,0.0000
-3.6061,-5.9726,0.0000
-1.8526,-4.7113,0.0000
-1.3844,-3.8758,0.0000
-1.5144,-4.7554,0.0000
-7.7274,0.4770,0.0000
-6.2204,-5.4446,0.0000
-6.5661,-5.4548,0.0000
-4.4574,-4.5487,0.0000
-3.5219,-0.9926,0.0000
-5.2694,-7.7573,0.0000
-7.6437,-6.4887,0.0000
-8.7436,-3.1552,0.0000
-6.1140,-5.6954,0.0000
-5.0042,-8.1229,0.0000
-6.9260,-3.4913,0.0000
-3.6169,-5.9910,0.0000
-0.9515,-7.9197,0.0000
-5.7714,-5.5162,0.0000
